,vendor_name,address_line_1,city,state,zip,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",City,State,County,Zip,Country,Source
251,"Staten Island Stages LLC","2911 Arthur Kill Road","Staten Island","New York",10309,40.549628,-74.227369,1,rooftop,2911,"Arthur Kill Rd",,,"Staten Island",NY,"Richmond County",10309,US,"City of New York"
252,"Steadfast Services LLC","333 Chelsea Road","Staten Island","New York",10314,40.610496,-74.188865,1,rooftop,333,"Chelsea Rd",,,"Staten Island",NY,"Richmond County",10314,US,"City of New York"
253,"STEM Advancement Inc.","131 Bloomingdale rd","Staten Island","New York",10309,40.52753,-74.216046,1,rooftop,131,"Bloomingdale Rd",,,"Staten Island",NY,"Richmond County",10309,US,"City of New York"
254,"Stevsho LLC","1147 Castlton Avenue","Staten Island","New York",10310,40.634364,-74.120582,1,rooftop,1147,"Castleton Ave",,,"Staten Island",NY,"Richmond County",10310,US,"City of New York"
255,"Strata Industries Corp.","20 Brick Court","Staten Island","New York",10309,40.537758,-74.241582,1,rooftop,20,"Brick Ct",,,"Staten Island",NY,"Richmond County",10309,US,"City of New York"
256,"Staten Island Recycling","451 Spencer Street","Staten Island","New York",10314,40.60247,-74.195637,1,rooftop,451,"Spencer St",,,"Staten Island",NY,"Richmond County",10314,US,"City of New York"
257,"Taj Associates USA Inc.","77 Targee Street","Staten Island","New York",10304,40.625252,-74.083291,1,rooftop,77,"Targee St",,,"Staten Island",NY,"Richmond County",10304,US,"City of New York"
258,"Target Mechanical, Inc.","18 Park Avenue","Staten Island","New York",10302,40.63971,-74.130766,1,range_interpolation,18,"Park Ave",,,"Staten Island",NY,"Richmond County",10302,US,"TIGER/Line® dataset from the US Census Bureau"
259,"TCDB Mgmt Group, Inc","49 Caswell Avenue","Staten Island","New York",10314,40.613153,-74.137809,1,rooftop,49,"Caswell Ave",,,"Staten Island",NY,"Richmond County",10314,US,"City of New York"
260,TROINET,"1412 Richmond Road","Staten Island","New York",10304,40.594459,-74.098365,1,rooftop,1412,"Richmond Rd",,,"Staten Island",NY,"Richmond County",10304,US,"City of New York"
261,"EB Pritchard Contracting Corp.","1940 Richmond Terrace","Staten Island","New York",10302,40.638114,-74.129071,1,rooftop,1940,"Richmond Ter",,,"Staten Island",NY,"Richmond County",10302,US,"City of New York"
262,"The Von Agency Inc","179 Windsor Road","Staten Island","New York",10314,40.612052,-74.11973,1,rooftop,179,"Windsor Rd",,,"Staten Island",NY,"Richmond County",10314,US,"City of New York"
263,"The Wheels on the Bus Go Round N Round","1841 Forest Avenue","Staten Island","New York",10303,40.625404,-74.150024,1,rooftop,1841,"Forest Ave",,,"Staten Island",NY,"Richmond County",10303,US,"City of New York"
264,"The Wings Group HC, LLC","999 Forest Avenue","Staten Island","New York",10310,40.627506,-74.123001,1,rooftop,999,"Forest Ave",,,"Staten Island",NY,"Richmond County",10310,US,"City of New York"
